Series_Title,Released_Year,Runtime,IMDB_Rating,,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,
La montaña sagrada,1973,114 min,7.9,,76,Alejandro Jodorowsky,Alejandro Jodorowsky,Horacio Salinas,Zamira Saunders,Juan Ferrara,37183,"61,001",
Amarcord,1973,123 min,7.9,,,Federico Fellini,Magali Noël,Bruno Zanin,Pupella Maggio,Armando Brancia,39897,,
Le charme discret de la bourgeoisie,1972,102 min,7.9,,93,Luis Buñuel,Fernando Rey,Delphine Seyrig,Paul Frankeur,Bulle Ogier,38737,"198,809",
"Aguirre, der Zorn Gottes",1972,95 min,7.9,,,Werner Herzog,Klaus Kinski,Ruy Guerra,Helena Rojo,Del Negro,52397,,
Harold and Maude,1971,91 min,7.9,,62,Hal Ashby,Ruth Gordon,Bud Cort,Vivian Pickles,Cyril Cusack,70826,,
Patton,1970,172 min,7.9,,91,Franklin J. Schaffner,George C. Scott,Karl Malden,Stephen Young,Michael Strong,93741,"61,700,000",
The Wild Bunch,1969,145 min,7.9,,97,Sam Peckinpah,William Holden,Ernest Borgnine,Robert Ryan,Edmond O'Brien,77401,"12,064,472",
Night of the Living Dead,1968,96 min,7.9,,89,George A. Romero,Duane Jones,Judith O'Dea,Karl Hardman,Marilyn Eastman,116557,"89,029",
The Lion in Winter,1968,134 min,7.9,,,Anthony Harvey,Peter O'Toole,Katharine Hepburn,Anthony Hopkins,John Castle,29003,"22,276,975",
In the Heat of the Night,1967,110 min,7.9,,75,Norman Jewison,Sidney Poitier,Rod Steiger,Warren Oates,Lee Grant,67804,"24,379,978",
Charade,1963,113 min,7.9,,83,Stanley Donen,Cary Grant,Audrey Hepburn,Walter Matthau,James Coburn,68689,"13,474,588",
The Manchurian Candidate,1962,126 min,7.9,,94,John Frankenheimer,Frank Sinatra,Laurence Harvey,Janet Leigh,Angela Lansbury,71122,,
Spartacus,1960,197 min,7.9,,87,Stanley Kubrick,Kirk Douglas,Laurence Olivier,Jean Simmons,Charles Laughton,124339,"30,000,000",
L'avventura,1960,144 min,7.9,,,Michelangelo Antonioni,Gabriele Ferzetti,Monica Vitti,Lea Massari,Dominique Blanchar,26542,,
Hiroshima mon amour,1959,90 min,7.9,,,Alain Resnais,Emmanuelle Riva,Eiji Okada,Stella Dassas,Pierre Barbaud,28421,"88,3",
The Ten Commandments,1956,220 min,7.9,,,Cecil B. DeMille,Charlton Heston,Yul Brynner,Anne Baxter,Edward G. Robinson,63560,"93,740,000",
The Searchers,1956,119 min,7.9,,94,John Ford,John Wayne,Jeffrey Hunter,Vera Miles,Ward Bond,80316,,
East of Eden,1955,118 min,7.9,,72,Elia Kazan,James Dean,Raymond Massey,Julie Harris,Burl Ives,40313,,
High Noon,1952,85 min,7.9,,89,Fred Zinnemann,Gary Cooper,Grace Kelly,Thomas Mitchell,Lloyd Bridges,97222,"9,450,000",
Strangers on a Train,1951,101 min,7.9,,88,Alfred Hitchcock,Farley Granger,Robert Walker,Ruth Roman,Leo G. Carroll,123341,"7,630,000",
Harvey,1950,104 min,7.9,,,Henry Koster,James Stewart,Wallace Ford,William H. Lynn,Victoria Horne,52573,,
Miracle on 34th Street,1947,96 min,7.9,,88,George Seaton,Edmund Gwenn,Maureen O'Hara,John Payne,Gene Lockhart,41625,"2,650,000",
Notorious,1946,102 min,7.9,,100,Alfred Hitchcock,Cary Grant,Ingrid Bergman,Claude Rains,Louis Calhern,92306,"10,464,000",
The Big Sleep,1946,114 min,7.9,,,Howard Hawks,Humphrey Bogart,Lauren Bacall,John Ridgely,Martha Vickers,78796,"6,540,000",
The Lost Weekend,1945,101 min,7.9,,,Billy Wilder,Ray Milland,Jane Wyman,Phillip Terry,Howard Da Silva,33549,"9,460,000",
The Philadelphia Story,1940,112 min,7.9,,96,George Cukor,Cary Grant,Katharine Hepburn,James Stewart,Ruth Hussey,63550,,
His Girl Friday,1940,92 min,7.9,,,Howard Hawks,Cary Grant,Rosalind Russell,Ralph Bellamy,Gene Lockhart,53667,296,
The Adventures of Robin Hood,1938,102 min,7.9,,97,Michael Curtiz,William Keighley,Errol Flynn,Olivia de Havilland,Basil Rathbone,47175,"3,981,000",
A Night at the Opera,1935,96 min,7.9,,,Sam Wood,Edmund Goulding,Groucho Marx,Chico Marx,Harpo Marx,30580,"2,537,520",
King Kong,1933,100 min,7.9,,90,Merian C. Cooper,Ernest B. Schoedsack,Fay Wray,Robert Armstrong,Bruce Cabot,78991,"10,000,000",
Freaks,1932,64 min,7.9,,80,Tod Browning,Wallace Ford,Leila Hyams,Olga Baclanova,Roscoe Ates,42117,,
Nosferatu,1922,94 min,7.9,,,F.W. Murnau,Max Schreck,Alexander Granach,Gustav von Wangenheim,Greta Schröder,88794,,
The Gentlemen,2019,113 min,7.8,,51,Guy Ritchie,Matthew McConaughey,Charlie Hunnam,Michelle Dockery,Jeremy Strong,237392,,
Raazi,2018,138 min,7.8,,,Meghna Gulzar,Alia Bhatt,Vicky Kaushal,Rajit Kapoor,Shishir Sharma,25344,,
Sound of Metal,2019,120 min,7.8,,81,Darius Marder,Riz Ahmed,Olivia Cooke,Paul Raci,Lauren Ridloff,27187,,
Forushande,2016,124 min,7.8,,85,Asghar Farhadi,Shahab Hosseini,Taraneh Alidoosti,Babak Karimi,Mina Sadati,51240,"2,402,067",
Dunkirk,2017,106 min,7.8,,94,Christopher Nolan,Fionn Whitehead,Barry Keoghan,Mark Rylance,Tom Hardy,555092,"188,373,161",
Perfetti sconosciuti,2016,96 min,7.8,,,Paolo Genovese,Giuseppe Battiston,Anna Foglietta,Marco Giallini,Edoardo Leo,57168,,
Hidden Figures,2016,127 min,7.8,,74,Theodore Melfi,Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner,200876,"169,607,287",
Paddington 2,2017,103 min,7.8,,88,Paul King,Ben Whishaw,Hugh Grant,Hugh Bonneville,Sally Hawkins,61594,"40,442,052",
Udta Punjab,2016,148 min,7.8,,,Abhishek Chaubey,Shahid Kapoor,Alia Bhatt,Kareena Kapoor,Diljit Dosanjh,27175,,
Kubo and the Two Strings,2016,101 min,7.8,,84,Travis Knight,Charlize Theron,Art Parkinson,Matthew McConaughey,Ralph Fiennes,118035,"48,023,088",
M.S. Dhoni: The Untold Story,2016,184 min,7.8,,,Neeraj Pandey,Sushant Singh Rajput,Kiara Advani,Anupam Kher,Disha Patani,40416,"1,782,795",
Manchester by the Sea,2016,137 min,7.8,,96,Kenneth Lonergan,Casey Affleck,Michelle Williams,Kyle Chandler,Lucas Hedges,246963,"47,695,120",
Under sandet,2015,100 min,7.8,,75,Martin Zandvliet,Roland Møller,Louis Hofmann,Joel Basman,Mikkel Boe Følsgaard,35539,"435,266",
Rogue One,2016,133 min,7.8,,65,Gareth Edwards,Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen,556608,"532,177,324",
Captain America: Civil War,2016,147 min,7.8,,75,Anthony Russo,Joe Russo,Chris Evans,Robert Downey Jr.,Scarlett Johansson,663649,"408,084,349",
The Hateful Eight,2015,168 min,7.8,,68,Quentin Tarantino,Samuel L. Jackson,Kurt Russell,Jennifer Jason Leigh,Walton Goggins,517059,"54,117,416",
Little Women,2019,135 min,7.8,,91,Greta Gerwig,Saoirse Ronan,Emma Watson,Florence Pugh,Eliza Scanlen,143250,"108,101,214",
Loving Vincent,2017,94 min,7.8,,62,Dorota Kobiela,Hugh Welchman,Douglas Booth,Jerome Flynn,Robert Gulaczyk,50778,"6,735,118",
Pride,2014,119 min,7.8,,79,Matthew Warchus,Bill Nighy,Imelda Staunton,Dominic West,Paddy Considine,51841,,
Le passé,2013,130 min,7.8,,85,Asghar Farhadi,Bérénice Bejo,Tahar Rahim,Ali Mosaffa,Pauline Burlet,45002,"1,330,596",
La grande bellezza,2013,141 min,7.8,,86,Paolo Sorrentino,Toni Servillo,Carlo Verdone,Sabrina Ferilli,Carlo Buccirosso,81125,"2,852,400",
The Lunchbox,2013,104 min,7.8,,76,Ritesh Batra,Irrfan Khan,Nimrat Kaur,Nawazuddin Siddiqui,Lillete Dubey,50523,"4,231,500",
Vicky Donor,2012,126 min,7.8,,,Shoojit Sircar,Ayushmann Khurrana,Yami Gautam,Annu Kapoor,Dolly Ahluwalia,39710,"169,209",
Big Hero 6,2014,102 min,7.8,,74,Don Hall,Chris Williams,Ryan Potter,Scott Adsit,Jamie Chung,410983,"222,527,828",
About Time,2013,123 min,7.8,,55,Richard Curtis,Domhnall Gleeson,Rachel McAdams,Bill Nighy,Lydia Wilson,303032,"15,322,921",
English Vinglish,2012,134 min,7.8,,,Gauri Shinde,Sridevi,Adil Hussain,Mehdi Nebbou,Priya Anand,33618,"1,670,773",
Kaze tachinu,2013,126 min,7.8,,83,Hayao Miyazaki,Hideaki Anno,Hidetoshi Nishijima,Miori Takimoto,Masahiko Nishimura,73690,"5,209,580",
Toy Story 4,2019,100 min,7.8,,84,Josh Cooley,Tom Hanks,Tim Allen,Annie Potts,Tony Hale,203177,"434,038,008",
La migliore offerta,2013,131 min,7.8,,49,Giuseppe Tornatore,Geoffrey Rush,Jim Sturgess,Sylvia Hoeks,Donald Sutherland,108399,"85,433",
Moonrise Kingdom,2012,94 min,7.8,,84,Wes Anderson,Jared Gilman,Kara Hayward,Bruce Willis,Bill Murray,318789,"45,512,466",
How to Train Your Dragon 2,2014,102 min,7.8,,76,Dean DeBlois,Jay Baruchel,Cate Blanchett,Gerard Butler,Craig Ferguson,305611,"177,002,924",
The Big Short,2015,130 min,7.8,,81,Adam McKay,Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt,362942,"70,259,870",
Kokuhaku,2010,106 min,7.8,,,Tetsuya Nakashima,Takako Matsu,Yoshino Kimura,Masaki Okada,Yukito Nishii,35713,,
Ang-ma-reul bo-at-da,2010,144 min,7.8,,67,Jee-woon Kim,Lee Byung-Hun,Choi Min-sik,Jeon Gook-Hwan,Ho-jin Chun,111252,"128,392",
The Girl with the Dragon Tattoo,2011,158 min,7.8,,71,David Fincher,Daniel Craig,Rooney Mara,Christopher Plummer,Stellan Skarsgård,423010,"102,515,793",
Captain Phillips,2013,134 min,7.8,,82,Paul Greengrass,Tom Hanks,Barkhad Abdi,Barkhad Abdirahman,Catherine Keener,421244,"107,100,855",
Ajeossi,2010,119 min,7.8,,,Jeong-beom Lee,Won Bin,Sae-ron Kim,Tae-hoon Kim,Hee-won Kim,62848,"6,46",
Straight Outta Compton,2015,147 min,7.8,,72,F. Gary Gray,O'Shea Jackson Jr.,Corey Hawkins,Jason Mitchell,Neil Brown Jr.,179264,"161,197,785",
Madeo,2009,129 min,7.8,,79,Bong Joon Ho,Hye-ja Kim,Won Bin,Jin Goo,Je-mun Yun,52758,"547,292",
Chugyeokja,2008,125 min,7.8,,64,Hong-jin Na,Kim Yoon-seok,Jung-woo Ha,Yeong-hie Seo,Yoo-Jeong Kim,58468,,
The Hobbit: The Desolation of Smaug,2013,161 min,7.8,,66,Peter Jackson,Ian McKellen,Martin Freeman,Richard Armitage,Ken Stott,601408,"258,366,855",
Das weiße Band - Eine deutsche Kindergeschichte,2009,144 min,7.8,,82,Michael Haneke,Christian Friedel,Ernst Jacobi,Leonie Benesch,Ulrich Tukur,68715,"2,222,647",
Män som hatar kvinnor,2009,152 min,7.8,,76,Niels Arden Oplev,Michael Nyqvist,Noomi Rapace,Ewa Fröling,Lena Endre,208994,"10,095,170",
The Trial of the Chicago 7,2020,129 min,7.8,,77,Aaron Sorkin,Eddie Redmayne,Alex Sharp,Sacha Baron Cohen,Jeremy Strong,89896,,
Druk,2020,117 min,7.8,,81,Thomas Vinterberg,Mads Mikkelsen,Thomas Bo Larsen,Magnus Millang,Lars Ranthe,33931,,
The Fighter,2010,116 min,7.8,,79,David O. Russell,Mark Wahlberg,Christian Bale,Amy Adams,Melissa Leo,340584,"93,617,009",
Taken,2008,90 min,7.8,,51,Pierre Morel,Liam Neeson,Maggie Grace,Famke Janssen,Leland Orser,564791,"145,000,989",
The Boy in the Striped Pyjamas,2008,94 min,7.8,,55,Mark Herman,Asa Butterfield,David Thewlis,Rupert Friend,Zac Mattoon O'Brien,190748,"9,030,581",
Once,2007,86 min,7.8,,88,John Carney,Glen Hansard,Markéta Irglová,Hugh Walsh,Gerard Hendrick,110656,"9,439,923",
The Hobbit: An Unexpected Journey,2012,169 min,7.8,,58,Peter Jackson,Martin Freeman,Ian McKellen,Richard Armitage,Andy Serkis,757377,"303,003,568",
Auf der anderen Seite,2007,122 min,7.8,,85,Fatih Akin,Baki Davrak,Nurgül Yesilçay,Tuncel Kurtiz,Nursel Köse,30827,"741,283",
Atonement,2007,123 min,7.8,,85,Joe Wright,Keira Knightley,James McAvoy,Brenda Blethyn,Saoirse Ronan,251370,"50,927,067",
Drive,2011,100 min,7.8,,78,Nicolas Winding Refn,Ryan Gosling,Carey Mulligan,Bryan Cranston,Albert Brooks,571571,"35,061,555",
American Gangster,2007,157 min,7.8,,76,Ridley Scott,Denzel Washington,Russell Crowe,Chiwetel Ejiofor,Josh Brolin,392449,"130,164,645",
Avatar,2009,162 min,7.8,,83,James Cameron,Sam Worthington,Zoe Saldana,Sigourney Weaver,Michelle Rodriguez,1118998,"760,507,625",
Mr. Nobody,2009,141 min,7.8,,63,Jaco Van Dormael,Jared Leto,Sarah Polley,Diane Kruger,Linh Dan Pham,216421,"3,6",
Apocalypto,2006,139 min,7.8,,68,Mel Gibson,Gerardo Taracena,Raoul Max Trujillo,Dalia Hernández,Rudy Youngblood,291018,"50,866,635",
Little Miss Sunshine,2006,101 min,7.8,,80,Jonathan Dayton,Valerie Faris,Steve Carell,Toni Collette,Greg Kinnear,439856,"59,891,098",
Hot Fuzz,2007,121 min,7.8,,81,Edgar Wright,Simon Pegg,Nick Frost,Martin Freeman,Bill Nighy,463466,"23,637,265",
The Curious Case of Benjamin Button,2008,166 min,7.8,,70,David Fincher,Brad Pitt,Cate Blanchett,Tilda Swinton,Julia Ormond,589160,"127,509,326",
Veer-Zaara,2004,192 min,7.8,,67,Yash Chopra,Shah Rukh Khan,Preity Zinta,Rani Mukerji,Kirron Kher,49050,"2,921,738",
Adams æbler,2005,94 min,7.8,,51,Anders Thomas Jensen,Ulrich Thomsen,Mads Mikkelsen,Nicolas Bro,Paprika Steen,45717,"1,305",
Pride & Prejudice,2005,129 min,7.8,,82,Joe Wright,Keira Knightley,Matthew Macfadyen,Brenda Blethyn,Donald Sutherland,258924,"38,405,088",
The World's Fastest Indian,2005,127 min,7.8,,68,Roger Donaldson,Anthony Hopkins,Diane Ladd,Iain Rea,Tessa Mitchell,51980,"5,128,124",
Tôkyô goddofâzâzu,2003,90 min,7.8,,73,Satoshi Kon,Shôgo Furuya,Tôru Emori,Yoshiaki Umegaki,Aya Okamoto,31658,"128,985",
Serenity,2005,119 min,7.8,,74,Joss Whedon,Nathan Fillion,Gina Torres,Chiwetel Ejiofor,Alan Tudyk,283310,"25,514,517",
Walk the Line,2005,136 min,7.8,,72,James Mangold,Joaquin Phoenix,Reese Witherspoon,Ginnifer Goodwin,Robert Patrick,234207,"119,519,402",
Ondskan,2003,113 min,7.8,,61,Mikael Håfström,Andreas Wilson,Henrik Lundström,Gustaf Skarsgård,Linda Zilliacus,35682,"15,28",
The Notebook,2004,123 min,7.8,,53,Nick Cassavetes,Gena Rowlands,James Garner,Rachel McAdams,Ryan Gosling,520284,"81,001,787",
Diarios de motocicleta,2004,126 min,7.8,,75,Walter Salles,Gael García Bernal,Rodrigo De la Serna,Mía Maestro,Mercedes Morán,96703,"16,756,372",
Lilja 4-ever,2002,109 min,7.8,,82,Lukas Moodysson,Oksana Akinshina,Artyom Bogucharskiy,Pavel Ponomaryov,Lyubov Agapova,42673,"181,655",
Les triplettes de Belleville,2003,80 min,7.8,,91,Sylvain Chomet,Michèle Caucheteux,Jean-Claude Donda,Michel Robin,Monica Viegas,50622,"7,002,255",
Gongdong gyeongbi guyeok JSA,2000,110 min,7.8,,58,Chan-wook Park,Lee Yeong-ae,Lee Byung-Hun,Kang-ho Song,Kim Tae-Woo,26518,,
The Count of Monte Cristo,2002,131 min,7.8,,61,Kevin Reynolds,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc,129022,"54,234,062",
Waking Life,2001,99 min,7.8,,83,Richard Linklater,Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater,Wiley Wiggins,60684,"2,892,011",
Remember the Titans,2000,113 min,7.8,,48,Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst,198089,"115,654,751",
Wo hu cang long,2000,120 min,7.8,,94,Ang Lee,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Chen Chang,253228,"128,078,872",
Todo sobre mi madre,1999,101 min,7.8,,87,Pedro Almodóvar,Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan,89058,"8,264,530",
Cast Away,2000,143 min,7.8,,73,Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White,524235,"233,632,142",
The Boondock Saints,1999,108 min,7.8,,44,Troy Duffy,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco,227143,"25,812",
The Insider,1999,157 min,7.8,,84,Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora,159886,"28,965,197",
October Sky,1999,108 min,7.8,,71,Joe Johnston,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen,82855,"32,481,825",
Shrek,2001,90 min,7.8,,84,Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz,613941,"267,665,011",
Titanic,1997,194 min,7.8,,75,James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates,1046089,"659,325,379",
Hana-bi,1997,103 min,7.8,,,Takeshi Kitano,Takeshi Kitano,Kayoko Kishimoto,Ren Osugi,Susumu Terajima,27712,"233,986",
Gattaca,1997,106 min,7.8,,64,Andrew Niccol,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal,280845,"12,339,633",
The Game,1997,129 min,7.8,,61,David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn,345096,"48,323,648",
Breaking the Waves,1996,159 min,7.8,,76,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr,62428,"4,040,691",
Ed Wood,1994,127 min,7.8,,70,Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette,164937,"5,887,457",
What's Eating Gilbert Grape,1993,118 min,7.8,,73,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen,215034,"9,170,214",
Tombstone,1993,130 min,7.8,,50,George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott,126871,"56,505,065",
The Sandlot,1993,101 min,7.8,,55,David Mickey Evans,Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna,78963,"32,416,586",
The Remains of the Day,1993,134 min,7.8,,84,James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Christopher Reeve,66065,"22,954,968",
Naked,1993,132 min,7.8,,84,Mike Leigh,David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell,34635,"1,769,305",
The Fugitive,1993,130 min,7.8,,87,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,267684,"183,875,760",
A Bronx Tale,1993,121 min,7.8,,80,Robert De Niro,Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra,128171,"17,266,971",
Batman: Mask of the Phantasm,1993,76 min,7.8,,,Kevin Altieri,Boyd Kirkland,Frank Paur,Dan Riba,Eric Radomski,43690,"5,617,391",
Lat sau san taam,1992,128 min,7.8,,,John Woo,Yun-Fat Chow,Tony Chiu-Wai Leung,Teresa Mo,Philip Chan,46700,,
Night on Earth,1991,129 min,7.8,,68,Jim Jarmusch,Winona Ryder,Gena Rowlands,Lisanne Falk,Alan Randolph Scott,55362,"2,015,810",
La double vie de Véronique,1991,98 min,7.8,,86,Krzysztof Kieslowski,Irène Jacob,Wladyslaw Kowalski,Halina Gryglaszewska,Kalina Jedrusik,42376,"1,999,955",
Boyz n the Hood,1991,112 min,7.8,,76,John Singleton,Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,Lloyd Avery II,126082,"57,504,069",
Misery,1990,107 min,7.8,,75,Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen,184740,"61,276,872",
Awakenings,1990,121 min,7.8,,74,Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson,125276,"52,096,475",
Majo no takkyûbin,1989,103 min,7.8,,83,Hayao Miyazaki,Kirsten Dunst,Minami Takayama,Rei Sakuma,Kappei Yamaguchi,124193,,
Glory,1989,122 min,7.8,,78,Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman,122779,"26,830,000",
Dip huet seung hung,1989,111 min,7.8,,82,John Woo,Yun-Fat Chow,Danny Lee,Sally Yeh,Kong Chu,45624,,
Back to the Future Part II,1989,108 min,7.8,,57,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson,481918,"118,500,000",
Mississippi Burning,1988,128 min,7.8,,65,Alan Parker,Gene Hackman,Willem Dafoe,Frances McDormand,Brad Dourif,88214,"34,603,943",
Predator,1987,107 min,7.8,,45,John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo,371387,"59,735,548",
Evil Dead II,1987,84 min,7.8,,72,Sam Raimi,Bruce Campbell,Sarah Berry,Dan Hicks,Kassie Wesley DePaiva,148359,"5,923,044",
Ferris Bueller's Day Off,1986,103 min,7.8,,61,John Hughes,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones,321382,"70,136,369",
Down by Law,1986,107 min,7.8,,75,Jim Jarmusch,Tom Waits,John Lurie,Roberto Benigni,Nicoletta Braschi,47834,"1,436,000",
The Goonies,1985,114 min,7.8,,62,Richard Donner,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman,244430,"61,503,218",
The Color Purple,1985,154 min,7.8,,78,Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Margaret Avery,78321,"98,467,863",
The Breakfast Club,1985,97 min,7.8,,66,John Hughes,Emilio Estevez,Judd Nelson,Molly Ringwald,Ally Sheedy,357026,"45,875,171",
The Killing Fields,1984,141 min,7.8,,76,Roland Joffé,Sam Waterston,Haing S. Ngor,John Malkovich,Julian Sands,51585,"34,700,291",
Ghostbusters,1984,105 min,7.8,,71,Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis,355413,"238,632,124",
The Right Stuff,1983,193 min,7.8,,91,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid,56235,"21,500,000",
The King of Comedy,1982,109 min,7.8,,73,Martin Scorsese,Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard,88511,"2,500,000",
E.T. the Extra-Terrestrial,1982,115 min,7.8,,91,Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace,372490,"435,110,554",
Kramer vs. Kramer,1979,105 min,7.8,,77,Robert Benton,Dustin Hoffman,Meryl Streep,Jane Alexander,Justin Henry,133351,"106,260,000",
Days of Heaven,1978,94 min,7.8,,93,Terrence Malick,Richard Gere,Brooke Adams,Sam Shepard,Linda Manz,52852,,
The Outlaw Josey Wales,1976,135 min,7.8,,69,Clint Eastwood,Clint Eastwood,Sondra Locke,Chief Dan George,Bill McKinney,65659,"31,800,000",
The Man Who Would Be King,1975,129 min,7.8,,91,John Huston,Sean Connery,Michael Caine,Christopher Plummer,Saeed Jaffrey,44917,,
The Conversation,1974,113 min,7.8,,85,Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest,98611,"4,420,000",
La planète sauvage,1973,72 min,7.8,,73,René Laloux,Barry Bostwick,Jennifer Drake,Eric Baugin,Jean Topart,25229,"193,817",
The Day of the Jackal,1973,143 min,7.8,,80,Fred Zinnemann,Edward Fox,Terence Alexander,Michel Auclair,Alan Badel,37445,"16,056,255",
Badlands,1973,94 min,7.8,,93,Terrence Malick,Martin Sheen,Sissy Spacek,Warren Oates,Ramon Bieri,66009,,
Cabaret,1972,124 min,7.8,,80,Bob Fosse,Liza Minnelli,Michael York,Helmut Griem,Joel Grey,48334,"42,765,000",
Willy Wonka & the Chocolate Factory,1971,100 min,7.8,,67,Mel Stuart,Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear,178731,"4,000,000",
Midnight Cowboy,1969,113 min,7.8,,79,John Schlesinger,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver,101124,"44,785,053",
Wait Until Dark,1967,108 min,7.8,,81,Terence Young,Audrey Hepburn,Alan Arkin,Richard Crenna,Efrem Zimbalist Jr.,27733,"17,550,741",
Guess Who's Coming to Dinner,1967,108 min,7.8,,63,Stanley Kramer,Spencer Tracy,Sidney Poitier,Katharine Hepburn,Katharine Houghton,39642,"56,700,000",
Bonnie and Clyde,1967,111 min,7.8,,86,Arthur Penn,Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman,102415,,
My Fair Lady,1964,170 min,7.8,,95,George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,86525,"72,000,000",
Mary Poppins,1964,139 min,7.8,,88,Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns,158029,"102,272,727",
The Longest Day,1962,178 min,7.8,,75,Ken Annakin,Andrew Marton,Gerd Oswald,Bernhard Wicki,Darryl F. Zanuck,52141,"39,100,000",
Jules et Jim,1962,105 min,7.8,,97,François Truffaut,Jeanne Moreau,Oskar Werner,Henri Serre,Vanna Urbino,37605,,
The Innocents,1961,100 min,7.8,,88,Jack Clayton,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Michael Redgrave,27007,"2,616,000",
À bout de souffle,1960,90 min,7.8,,,Jean-Luc Godard,Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Henri-Jacques Huet,73251,"336,705",
Red River,1948,133 min,7.8,,,Howard Hawks,Arthur Rosson,John Wayne,Montgomery Clift,Joanne Dru,28167,,
Key Largo,1948,100 min,7.8,,,John Huston,Humphrey Bogart,Edward G. Robinson,Lauren Bacall,Lionel Barrymore,36995,,
To Have and Have Not,1944,100 min,7.8,,,Howard Hawks,Humphrey Bogart,Lauren Bacall,Walter Brennan,Dolores Moran,31053,,
Shadow of a Doubt,1943,108 min,7.8,,94,Alfred Hitchcock,Teresa Wright,Joseph Cotten,Macdonald Carey,Henry Travers,59556,,
Stagecoach,1939,96 min,7.8,,93,John Ford,John Wayne,Claire Trevor,Andy Devine,John Carradine,43621,,
The Lady Vanishes,1938,96 min,7.8,,98,Alfred Hitchcock,Margaret Lockwood,Michael Redgrave,Paul Lukas,May Whitty,47400,,
Bringing Up Baby,1938,102 min,7.8,,91,Howard Hawks,Katharine Hepburn,Cary Grant,Charles Ruggles,Walter Catlett,55163,,
Bride of Frankenstein,1935,75 min,7.8,,95,James Whale,Boris Karloff,Elsa Lanchester,Colin Clive,Valerie Hobson,43542,"4,360,000",
Duck Soup,1933,69 min,7.8,,93,Leo McCarey,Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx,55581,,
Scarface: The Shame of the Nation,1932,93 min,7.8,,87,Howard Hawks,Richard Rosson,Paul Muni,Ann Dvorak,Karen Morley,25312,,
Frankenstein,1931,70 min,7.8,,91,James Whale,Colin Clive,Mae Clarke,Boris Karloff,John Boles,65341,,
